Participant,experience,evidence_sequence
7.0,Control,"['yes', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
7.0,Control,"['yes', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes']"
7.0,Control,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes']"
7.0,Control,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
7.0,Control,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']"
7.0,Control,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
7.0,Control,"['no', 'no', 'yes', 'no', 'yes', 'no', 'yes', 'yes', 'no', 'yes']"
7.0,Control,"['no', 'yes', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
7.0,Control,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes']"
7.0,Control,"['yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no']"
7.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
7.0,Control,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
7.0,Control,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
7.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
7.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
7.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
7.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
7.0,Control,"['yes', 'yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'yes', 'yes']"
7.0,Control,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'yes']"
7.0,Control,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
7.0,Control,"['yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
7.0,Control,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
7.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
7.0,Control,"['yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
7.0,Control,"['no', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
7.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
7.0,Control,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes']"
11.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'yes', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['yes', 'no', 'no', 'yes', 'no', 'yes', 'no', 'no', 'no', 'yes']"
11.0,ThirdYear,"['no', 'yes', 'no', 'no', 'no', 'yes', 'no', 'yes', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
11.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no']"
11.0,ThirdYear,"['yes', 'no', 'yes', 'no', 'yes', 'no', 'yes', 'no', 'yes', 'no']"
11.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'yes', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes']"
11.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes']"
11.0,ThirdYear,"['no', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'no']"
11.0,ThirdYear,"['yes', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'no']"
11.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
11.0,ThirdYear,"['yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
11.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
11.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no']"
12.0,FirstYear,"['yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes']"
12.0,FirstYear,"['no', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'yes']"
12.0,FirstYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes']"
12.0,FirstYear,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
12.0,FirstYear,"['no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
12.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'yes', 'no']"
12.0,FirstYear,"['no', 'yes', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'yes', 'no']"
12.0,FirstYear,"['no', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'no']"
12.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
12.0,FirstYear,"['yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
12.0,FirstYear,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
12.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'no', 'no', 'yes']"
12.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes']"
12.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
12.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
12.0,FirstYear,"['yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'yes', 'no', 'no', 'yes', 'no', 'yes']"
12.0,FirstYear,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes']"
12.0,FirstYear,"['no', 'no', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
12.0,FirstYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
12.0,FirstYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
12.0,FirstYear,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
13.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', '', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
13.0,ThirdYear,"['no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
13.0,ThirdYear,"['yes', 'no', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
13.0,ThirdYear,"['yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'yes']"
13.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no']"
13.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
13.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
13.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes']"
13.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'yes', 'yes', 'yes']"
13.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
13.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'yes', 'no', 'yes']"
13.0,ThirdYear,"['yes', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'yes']"
13.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
13.0,ThirdYear,"['no', 'yes', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
13.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes']"
13.0,ThirdYear,"['no', 'no', 'no', 'yes', 'no', 'yes', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
13.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
13.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes']"
13.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
13.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes', 'yes']"
14.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
14.0,ThirdYear,"['no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'yes']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['yes', 'no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no']"
14.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes']"
14.0,ThirdYear,"['yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
14.0,ThirdYear,"['no', 'yes', 'no', 'yes', 'yes', 'yes', 'no', 'no', 'no', 'yes']"
14.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'yes', 'no']"
14.0,ThirdYear,"['yes', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'no']"
14.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'no', 'no', 'yes', 'yes', 'no', 'yes']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
14.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'yes']"
14.0,ThirdYear,"['no', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'yes', 'yes', 'no', 'yes', 'yes', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['yes', 'yes', 'no', 'no', 'no', 'yes', 'no', 'yes', 'yes', 'yes']"
14.0,ThirdYear,"['yes', 'no', 'yes', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
14.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'no', 'yes', 'no', 'yes', 'yes', 'yes']"
14.0,ThirdYear,"['no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
14.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'no', 'yes', 'yes']"
14.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
14.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
14.0,ThirdYear,"['yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
14.0,ThirdYear,"['yes', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes', 'yes']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes', 'no', 'yes']"
14.0,ThirdYear,"['no', 'no', 'no', 'yes', 'yes', 'yes', 'yes', 'yes', 'no', 'yes']"
14.0,ThirdYear,"['yes', 'no', 'no', 'no', 'no', 'yes', 'no', 'no', 'no', 'yes']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'yes', 'yes', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
14.0,ThirdYear,"['no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'no', 'yes']"
